"name","essround","edition","proddate","idno","cntry","dweight","pweight","nwspol","netusoft","happy","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",50095,"GB",1.1424241,3.3242688,30,5,6,0.000110735564,477,4379
"ESS11e01",11,"1.0","20.06.2024",50097,"GB",0.59915686,3.3242688,60,5,7,0.00021114168,479,4325
"ESS11e01",11,"1.0","20.06.2024",50109,"GB",0.57121205,3.3242688,180,5,7,0.00022147113,477,4652
"ESS11e01",11,"1.0","20.06.2024",50116,"GB",0.57121205,3.3242688,60,5,8,0.00022147113,477,4478
"ESS11e01",11,"1.0","20.06.2024",50117,"GB",0.59915686,3.3242688,8888,5,8,0.00021114168,479,4536
"ESS11e01",11,"1.0","20.06.2024",50141,"GB",1.1424241,3.3242688,90,4,7,0.000110735564,477,4297
"ESS11e01",11,"1.0","20.06.2024",50157,"GB",0.57121205,3.3242688,120,5,8,0.00022147113,477,4448
"ESS11e01",11,"1.0","20.06.2024",50170,"GB",1.1424241,3.3242688,20,5,9,0.000110735564,477,4356
"ESS11e01",11,"1.0","20.06.2024",50178,"GB",0.57121205,3.3242688,30,5,10,0.00022147113,477,4627
"ESS11e01",11,"1.0","20.06.2024",50179,"GB",1.7136363,3.3242688,0,5,7,0.00007382371,477,4379
"ESS11e01",11,"1.0","20.06.2024",50201,"GB",0.57121205,3.3242688,15,3,1,0.00022147113,477,4646
"ESS11e01",11,"1.0","20.06.2024",50205,"GB",1.1424241,3.3242688,15,5,4,0.000110735564,477,4568
"ESS11e01",11,"1.0","20.06.2024",50230,"GB",1.1424241,3.3242688,60,5,7,0.000110735564,477,4529
"ESS11e01",11,"1.0","20.06.2024",50250,"GB",2.2848482,3.3242688,90,5,9,0.000055367782,477,4322
"ESS11e01",11,"1.0","20.06.2024",50306,"GB",0.6229453,3.3242688,10,5,5,0.00020307879,478,4525
"ESS11e01",11,"1.0","20.06.2024",50319,"GB",0.57121205,3.3242688,10,5,9,0.00022147113,477,4648
"ESS11e01",11,"1.0","20.06.2024",50342,"GB",0.57121205,3.3242688,30,5,8,0.00022147113,477,4604
"ESS11e01",11,"1.0","20.06.2024",50373,"GB",0.57121205,3.3242688,30,5,9,0.00022147113,477,4332
"ESS11e01",11,"1.0","20.06.2024",50398,"GB",1.1424241,3.3242688,180,4,1,0.000110735564,477,4458
"ESS11e01",11,"1.0","20.06.2024",50400,"GB",1.1424241,3.3242688,580,5,9,0.000110735564,477,4531
"ESS11e01",11,"1.0","20.06.2024",50401,"GB",1.1424241,3.3242688,5,4,10,0.000110735564,477,4491
"ESS11e01",11,"1.0","20.06.2024",50416,"GB",2.2848482,3.3242688,120,5,10,0.000055367782,477,4649
"ESS11e01",11,"1.0","20.06.2024",50453,"GB",0.57121205,3.3242688,120,1,4,0.00022147113,477,4488
"ESS11e01",11,"1.0","20.06.2024",50462,"GB",1.1424241,3.3242688,60,5,8,0.000110735564,477,4629
"ESS11e01",11,"1.0","20.06.2024",50471,"GB",1.1424241,3.3242688,10,5,7,0.000110735564,477,4620
"ESS11e01",11,"1.0","20.06.2024",50477,"GB",0.57121205,3.3242688,0,2,9,0.00022147113,477,4442
"ESS11e01",11,"1.0","20.06.2024",50478,"GB",1.1424241,3.3242688,120,2,7,0.000110735564,477,4386
"ESS11e01",11,"1.0","20.06.2024",50502,"GB",0.57121205,3.3242688,0,5,1,0.00022147113,477,4389
"ESS11e01",11,"1.0","20.06.2024",50521,"GB",1.6581665,3.3242688,5,5,6,0.00007629329,480,4441
"ESS11e01",11,"1.0","20.06.2024",50527,"GB",1.1424241,3.3242688,30,5,6,0.000110735564,477,4610
"ESS11e01",11,"1.0","20.06.2024",50538,"GB",2.3966274,3.3242688,60,5,7,0.00005278542,479,4511
"ESS11e01",11,"1.0","20.06.2024",50571,"GB",0.57121205,3.3242688,45,5,8,0.00022147113,477,4316
"ESS11e01",11,"1.0","20.06.2024",50575,"GB",2.2848482,3.3242688,182,5,5,0.000055367782,477,4338
"ESS11e01",11,"1.0","20.06.2024",50599,"GB",0.57121205,3.3242688,1021,5,10,0.00022147113,477,4552
"ESS11e01",11,"1.0","20.06.2024",50646,"GB",1.1424241,3.3242688,90,5,6,0.000110735564,477,4473
"ESS11e01",11,"1.0","20.06.2024",50674,"GB",0.57121205,3.3242688,180,5,7,0.00022147113,477,4420
"ESS11e01",11,"1.0","20.06.2024",50675,"GB",1.7136363,3.3242688,0,4,5,0.00007382371,477,4366
"ESS11e01",11,"1.0","20.06.2024",50708,"GB",0.57121205,3.3242688,120,5,8,0.00022147113,477,4447
"ESS11e01",11,"1.0","20.06.2024",50753,"GB",1.7136363,3.3242688,30,5,7,0.00007382371,477,4459
"ESS11e01",11,"1.0","20.06.2024",50808,"GB",0.57121205,3.3242688,360,5,6,0.00022147113,477,4484
"ESS11e01",11,"1.0","20.06.2024",50822,"GB",1.2458906,3.3242688,1439,5,8,0.000101539394,478,4359
"ESS11e01",11,"1.0","20.06.2024",50845,"GB",1.1424241,3.3242688,45,5,9,0.000110735564,477,4361
"ESS11e01",11,"1.0","20.06.2024",50920,"GB",0.59915686,3.3242688,60,5,1,0.00021114168,479,4410
"ESS11e01",11,"1.0","20.06.2024",50984,"GB",0.57121205,3.3242688,30,5,8,0.00022147113,477,4391
"ESS11e01",11,"1.0","20.06.2024",50992,"GB",1.1054444,3.3242688,10,5,8,0.00011443994,480,4578
"ESS11e01",11,"1.0","20.06.2024",51075,"GB",1.1424241,3.3242688,90,5,9,0.000110735564,477,4391
"ESS11e01",11,"1.0","20.06.2024",51083,"GB",1.1424241,3.3242688,120,5,7,0.000110735564,477,4421
"ESS11e01",11,"1.0","20.06.2024",51284,"GB",1.7136363,3.3242688,30,5,9,0.00007382371,477,4436
"ESS11e01",11,"1.0","20.06.2024",51295,"GB",2.2848482,3.3242688,60,5,8,0.000055367782,477,4543
"ESS11e01",11,"1.0","20.06.2024",51306,"GB",0.57121205,3.3242688,0,3,8,0.00022147113,477,4593
"ESS11e01",11,"1.0","20.06.2024",51331,"GB",1.1424241,3.3242688,30,5,8,0.000110735564,477,4548
"ESS11e01",11,"1.0","20.06.2024",51343,"GB",0.57121205,3.3242688,60,5,6,0.00022147113,477,4572
"ESS11e01",11,"1.0","20.06.2024",51346,"GB",1.1424241,3.3242688,60,5,7,0.000110735564,477,4628
